main/alt address	index	source			description
$0515/$0553		$00,x	config+$00		level type
$0517/$0555		$02,x	theme+$00		graphics init routine index
$0519/$0557		$04,x	theme+$02		HDMA init routine index
$051B/$0559		$06,x	theme+$04		music track index
$051D/$055B		$08,x	theme+$0A		level init routine pointer (bank BB)
$051F/$055D		$0A,x	theme+$08		terrain slope init routine pointer (bank BB)
$0521/$055F		$0C,x	config+$07		start level with animal
$0523/$0561		$0E,x	theme+$12		32x32 tilemap index
$0525/$0563		$10,x	config+$04		level map number (tilemap layout)
$0527/$0565		$12,x	theme+$0E		level nmi routine index
$0529/$0567		$14,x	theme+$10		level logic routine index
$052B/$0569		$16,x	theme+$13		level effect flags
$052D/$056B		$18,x	config+$01		bonus type (does not exist in level config if normal level)
$052F/$056D		$1A,x	config unlocks		additional map unlock temp id (level id to unlock)
$0531/$056F		$1C,x	config entrances	entrances address (offset in level config varies)
$0533/$0571		$1E,x	config entrances	entrance x position
$0535/$0573		$20,x	config entrances	entrance y position
$0537/$0575		$22,x	theme+$0C		ppu setting script index
$0539/$0577		$24,x	theme+$0D		vram upload script index
$053B/$0579		$26,x	calculated		destination count
$053D/$057B		$28,x	config destinations+$00	level destination 1
$053F/$057D		$2A,x	config destinations+$02	level destination 2
$0541/$057F		$2C,x	config destinations+$04	level destination 3
$0543/$0581		$2E,x	config destinations+$06	level destination 4
$0545/$0583		$30,x	config destinations+$08	level destination 5
$0547/$0585		$32,x	config destinations+$0A	level destination 6
$0549/$0587		$34,x	config destinations+$0C	level destination 7
$054B/$0589		$36,x	config destinations+$0E	level destination 8
$054D/$058B		$38,x	config+$08		camera positioning (unknown)
$054F/$058D		$3A,x	config+$0A		camera control
$0550/$058E		$3B,x	config+$0B		entrance first byte (unknown)
$0551/$058F		$3C,x	config unlocks		additional map unlocks data address (offset in level config varies)
